지표명,구분유형,sex,agegroup,값,단위,se,n,출처,통합연도
유산소신체활동실천율,전체,,,48.7,%,0.005765973827299831,15732.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별,1.0,,51.6,%,0.007753675784655461,6763.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별,2.0,,45.9,%,0.007292107599192083,8969.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,19-29,68.6,%,0.011988540252185903,1836.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,30-39,57.4,%,0.013213947601731729,1845.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,40-49,48.3,%,0.011674549532675943,2551.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,50-59,45.7,%,0.01075958946618606,2890.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,60-69,41.6,%,0.010571753636198502,3467.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,연령대,,70+,28.4,%,0.00954359964043678,3143.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,19-29,72.0,%,0.01681890440311917,846.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,30-39,61.6,%,0.018160738950412925,826.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,40-49,47.9,%,0.01609745905019361,1055.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,50-59,46.0,%,0.01588626127840508,1165.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,60-69,43.5,%,0.014738463245236748,1492.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,1.0,70+,33.2,%,0.014232752921172664,1379.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,19-29,64.7,%,0.015725535661732203,990.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,30-39,52.7,%,0.017400765959186663,1019.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,40-49,48.6,%,0.015097245219841623,1496.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,50-59,45.3,%,0.01448421291859083,1725.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,60-69,39.7,%,0.012793057057742634,1975.0,KNHANES 제9기,2022+2023+2024
유산소신체활동실천율,성별×연령대,2.0,70+,24.9,%,0.011815727778454405,1764.0,KNHANES 제9기,2022+2023+2024
현재흡연율,전체,,,17.1,%,0.0041887097221426795,16831.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별,1.0,,29.8,%,0.006872542541526655,7296.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별,2.0,,4.5,%,0.002817706636437831,9535.0,KNHANES 제9기,2022+2023+2024
현재흡연율,연령대,,19-29,17.9,%,0.010073654876059447,1915.0,KNHANES 제9기,2022+2023+2024
현재흡연율,연령대,,30-39,17.5,%,0.010202271148380786,1966.0,KNHANES 제9기,2022+2023+2024
현재흡연율,연령대,,40-49,21.9,%,0.009906663269889449,2739.0,KNHANES 제9기,2022+2023+2024
