year,income_now,income_first,is_first_job,job_major,satis_overall,satis_growth,health,life_satis,happy_last_month,quit_reason_first,move_reason_1,changed_job,income_change_pct,income_up,income_down
2020,250.0,195.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,10.0,5.0,1.0,28.205128205128204,1,0
2020,190.0,180.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,11.0,,1.0,5.555555555555555,1,0
2020,230.0,230.0,2.0,1.0,3.0,4.0,3.0,5.0,5.0,14.0,14.0,1.0,0.0,0,0
2020,310.0,190.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,7.0,,1.0,63.1578947368421,1,0
2020,380.0,180.0,2.0,7.0,4.0,4.0,4.0,6.0,6.0,11.0,,1.0,111.11111111111111,1,0
2020,190.0,170.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,11.0,5.0,1.0,11.76470588235294,1,0
2020,326.0,199.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,10.0,4.0,1.0,63.81909547738693,1,0
2020,180.0,200.0,2.0,3.0,4.0,5.0,4.0,7.0,4.0,1.0,,1.0,-10.0,0,1
2020,410.0,220.0,2.0,1.0,4.0,4.0,4.0,6.0,6.0,10.0,,1.0,86.36363636363636,1,0
2020,260.0,250.0,2.0,1.0,5.0,1.0,3.0,7.0,7.0,1.0,,1.0,4.0,1,0
2020,250.0,200.0,2.0,9.0,3.0,4.0,3.0,3.0,4.0,7.0,,1.0,25.0,1,0
2020,200.0,200.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,10.0,,1.0,0.0,0,0
2020,300.0,600.0,2.0,1.0,4.0,4.0,3.0,7.0,7.0,11.0,,1.0,-50.0,0,1
2020,100.0,230.0,2.0,7.0,5.0,3.0,3.0,2.0,7.0,7.0,2.0,1.0,-56.52173913043478,0,1
2020,165.0,170.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,1.0,,1.0,-2.941176470588235,0,1
2020,150.0,123.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,10.0,1.0,1.0,21.951219512195124,1,0
2020,260.0,120.0,2.0,3.0,3.0,3.0,3.0,7.0,5.0,1.0,1.0,1.0,116.66666666666667,1,0
2020,189.0,179.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,11.0,3.0,1.0,5.58659217877095,1,0
2020,230.0,80.0,2.0,1.0,4.0,5.0,2.0,6.0,7.0,7.0,,1.0,187.5,1,0
2020,250.0,250.0,2.0,3.0,5.0,5.0,5.0,6.0,5.0,1.0,,1.0,0.0,0,0
2020,270.0,70.0,2.0,3.0,5.0,5.0,5.0,7.0,7.0,11.0,,1.0,285.7142857142857,1,0
2020,300.0,160.0,2.0,3.0,4.0,4.0,3.0,3.0,6.0,1.0,,1.0,87.5,1,0
2020,350.0,250.0,2.0,8.0,4.0,4.0,2.0,5.0,5.0,3.0,,1.0,40.0,1,0
2020,240.0,130.0,2.0,1.0,5.0,3.0,4.0,5.0,6.0,4.0,,1.0,84.61538461538461,1,0
2020,230.0,100.0,2.0,1.0,4.0,4.0,2.0,5.0,6.0,10.0,,1.0,130.0,1,0
2020,316.0,210.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,,1.0,50.476190476190474,1,0
2020,200.0,100.0,2.0,2.0,4.0,3.0,2.0,4.0,6.0,5.0,,1.0,100.0,1,0
2020,160.0,150.0,2.0,6.0,3.0,2.0,4.0,4.0,5.0,12.0,1.0,1.0,6.666666666666667,1,0
