person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100187,4,1.0,0,30.0,1.0,4.0,0.0,8.0,1.0,375.0,4.0,4.0
100188,2,13.0,1,28.0,1.0,4.0,,6.0,1.0,400.0,3.0,3.0
100188,4,14.0,0,30.0,1.0,4.0,,5.0,1.0,200.0,3.0,2.0
100190,1,9.0,0,21.0,2.0,2.0,,4.0,1.0,180.0,4.0,4.0
100192,1,21.0,1,23.0,2.0,2.0,,1.0,2.0,151.5536,2.0,2.0
100192,2,26.0,1,24.0,2.0,4.0,5.0,3.0,2.0,173.79999999999998,4.0,4.0
100192,4,1.0,0,26.0,2.0,4.0,,1.0,2.0,173.79999999999998,2.0,3.0
100196,4,3.0,0,22.0,2.0,3.0,,2.0,1.0,270.0,4.0,4.0
100198,4,61.0,0,29.0,2.0,2.0,,1.0,1.0,230.0,3.0,4.0
100200,4,11.0,0,28.0,1.0,2.0,,2.0,1.0,270.0,4.0,4.0
100201,4,87.0,0,30.0,1.0,2.0,,2.0,1.0,280.0,4.0,4.0
100202,4,128.0,0,30.0,1.0,2.0,,1.0,2.0,300.0,4.0,4.0
100203,4,12.0,0,24.0,2.0,4.0,,3.0,1.0,230.0,4.0,4.0
100205,4,135.0,0,31.0,2.0,2.0,,2.0,1.0,280.0,4.0,4.0
100206,1,38.0,1,19.0,2.0,2.0,,1.0,2.0,90.0,3.0,4.0
100206,4,1.0,0,22.0,2.0,2.0,,1.0,2.0,90.0,4.0,3.0
100209,1,18.0,1,28.0,1.0,4.0,,3.0,1.0,380.0,4.0,5.0
100209,2,3.0,0,29.0,1.0,4.0,1.0,5.0,1.0,250.0,3.0,3.0
100215,4,3.0,0,24.0,2.0,4.0,,3.0,1.0,271.6666666666667,4.0,4.0
100216,1,23.0,0,25.0,1.0,4.0,,3.0,1.0,200.0,4.0,5.0
100217,4,3.0,0,25.0,2.0,4.0,,9.0,1.0,416.6666666666667,4.0,5.0
