age,birth_year,sex,school_type,major_cat,occupation,firm_size,is_regular,income_now,income_now_start,income_first,is_first_job,job_seq,satis_overall,satis_growth,health,life_satis,happy,quit_reason,move_reason,survey,survey_year,changed_job,income_base,income_change_pct,occupation_name,occupation_scheme
22.583333333333332,1998.0,1,1,2,3,9,1,180.0,180.0,,1.0,,3.0,5.0,4.0,5.0,5.0,,10,GOMS,2019,0.0,180.0,0.0,교육·법률·복지·공공,KECO2018
23.166666666666668,1997.0,2,1,3,3,3,2,220.0,196.0,,1.0,,4.0,5.0,3.0,7.0,5.0,,1,GOMS,2019,0.0,196.0,12.244897959183673,교육·법률·복지·공공,KECO2018
25.75,1994.0,2,1,3,3,1,1,230.0,225.0,,1.0,,4.0,4.0,4.0,5.0,5.0,,,GOMS,2019,0.0,225.0,2.2222222222222223,교육·법률·복지·공공,KECO2018
21.583333333333332,1999.0,2,1,3,3,,1,185.0,200.0,,1.0,,4.0,4.0,3.0,4.0,4.0,,,GOMS,2019,0.0,200.0,-7.5,교육·법률·복지·공공,KECO2018
23.083333333333332,1997.0,2,1,3,3,2,2,200.0,230.0,200.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,11,5,GOMS,2019,1.0,200.0,0.0,교육·법률·복지·공공,KECO2018
22.083333333333332,1998.0,2,1,3,3,2,1,240.0,200.0,,1.0,,4.0,5.0,5.0,6.0,7.0,,,GOMS,2019,0.0,200.0,20.0,교육·법률·복지·공공,KECO2018
23.5,1997.0,2,1,3,1,6,1,180.0,180.0,,1.0,,3.0,2.0,4.0,6.0,6.0,,,GOMS,2019,0.0,180.0,0.0,경영·사무·금융·보험,KECO2018
23.416666666666668,1997.0,2,1,3,3,2,1,230.0,230.0,,1.0,,4.0,4.0,4.0,4.0,4.0,,,GOMS,2019,0.0,230.0,0.0,교육·법률·복지·공공,KECO2018
23.166666666666668,1997.0,2,1,3,3,1,1,210.0,190.0,,1.0,,3.0,4.0,3.0,7.0,7.0,,1,GOMS,2019,0.0,190.0,10.526315789473683,교육·법률·복지·공공,KECO2018
22.833333333333332,1997.0,2,1,3,1,3,2,250.0,200.0,,1.0,,5.0,5.0,4.0,7.0,6.0,,,GOMS,2019,0.0,200.0,25.0,경영·사무·금융·보험,KECO2018
25.416666666666668,1995.0,2,1,3,3,3,1,230.0,200.0,,1.0,,4.0,4.0,4.0,5.0,6.0,,,GOMS,2019,0.0,200.0,15.0,교육·법률·복지·공공,KECO2018
22.666666666666668,1998.0,2,1,3,1,,2,179.0,179.0,,1.0,,5.0,3.0,2.0,6.0,4.0,,5,GOMS,2019,0.0,179.0,0.0,경영·사무·금융·보험,KECO2018
23.916666666666668,1996.0,2,1,3,3,3,2,102.0,102.0,,1.0,,4.0,3.0,3.0,2.0,5.0,,5,GOMS,2019,0.0,102.0,0.0,교육·법률·복지·공공,KECO2018
23.5,1997.0,2,1,3,3,3,1,250.0,240.0,,1.0,,3.0,4.0,3.0,5.0,5.0,,,GOMS,2019,0.0,240.0,4.166666666666666,교육·법률·복지·공공,KECO2018
22.666666666666668,1998.0,2,1,3,3,3,1,260.0,250.0,,1.0,,4.0,4.0,4.0,3.0,5.0,,,GOMS,2019,0.0,250.0,4.0,교육·법률·복지·공공,KECO2018
21.583333333333332,1999.0,2,1,4,2,3,1,200.0,180.0,,1.0,,4.0,4.0,2.0,3.0,3.0,,,GOMS,2019,0.0,180.0,11.11111111111111,연구·공학기술,KECO2018
,1965.0,2,1,4,1,3,1,270.0,270.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,270.0,0.0,경영·사무·금융·보험,KECO2018
24.25,1996.0,2,1,4,2,5,1,230.0,160.0,,1.0,,5.0,4.0,5.0,7.0,6.0,,,GOMS,2019,0.0,160.0,43.75,연구·공학기술,KECO2018
21.916666666666668,1998.0,2,1,4,2,1,1,180.0,180.0,180.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,11,,GOMS,2019,1.0,180.0,0.0,연구·공학기술,KECO2018
23.0,1997.0,2,1,4,1,6,2,180.0,180.0,,1.0,,4.0,4.0,5.0,5.0,6.0,,,GOMS,2019,0.0,180.0,0.0,경영·사무·금융·보험,KECO2018
42.75,1977.0,2,1,4,8,3,1,400.0,400.0,,1.0,,4.0,4.0,4.0,5.0,6.0,,,GOMS,2019,0.0,400.0,0.0,건설·채굴,KECO2018
24.416666666666668,1996.0,1,1,4,3,9,1,160.0,160.0,,1.0,,5.0,1.0,4.0,6.0,6.0,,,GOMS,2019,0.0,160.0,0.0,교육·법률·복지·공공,KECO2018
27.583333333333332,1993.0,1,1,4,2,5,1,240.0,200.0,,1.0,,4.0,4.0,4.0,5.0,6.0,,,GOMS,2019,0.0,200.0,20.0,연구·공학기술,KECO2018
23.416666666666668,1997.0,2,1,4,6,3,2,100.0,100.0,,1.0,,4.0,4.0,5.0,5.0,6.0,,,GOMS,2019,0.0,100.0,0.0,미용·여행·숙박·음식·경비·청소,KECO2018
26.083333333333332,1994.0,2,1,4,2,2,1,250.0,,,1.0,,1.0,2.0,5.0,6.0,3.0,,1,GOMS,2019,0.0,,,연구·공학기술,KECO2018
24.583333333333332,1996.0,1,1,4,1,7,2,180.0,180.0,170.0,2.0,2.0,4.0,5.0,4.0,6.0,4.0,1,1,GOMS,2019,1.0,170.0,5.88235294117647,경영·사무·금융·보험,KECO2018
21.833333333333332,1998.0,2,1,4,1,8,2,200.0,190.0,,1.0,,2.0,2.0,4.0,7.0,7.0,,5,GOMS,2019,0.0,190.0,5.263157894736842,경영·사무·금융·보험,KECO2018
23.666666666666668,1997.0,1,1,4,10,2,2,180.0,180.0,,1.0,,3.0,3.0,4.0,5.0,2.0,,2,GOMS,2019,0.0,180.0,0.0,농림어업,KECO2018
,1961.0,1,1,4,7,1,,200.0,50.0,,1.0,,4.0,3.0,4.0,6.0,6.0,,,GOMS,2019,0.0,50.0,200.0,영업·판매·운전·운송,KECO2018
26.666666666666668,1994.0,1,1,4,2,2,1,235.0,230.0,,1.0,,4.0,3.0,3.0,4.0,4.0,,,GOMS,2019,0.0,230.0,2.1739130434782608,연구·공학기술,KECO2018
24.666666666666668,1996.0,1,1,4,2,,2,240.0,240.0,200.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,11,,GOMS,2019,1.0,200.0,20.0,연구·공학기술,KECO2018
23.916666666666668,1996.0,1,1,4,1,4,1,240.0,240.0,170.0,2.0,2.0,3.0,5.0,4.0,6.0,3.0,11,,GOMS,2019,1.0,170.0,41.17647058823529,경영·사무·금융·보험,KECO2018
25.583333333333332,1995.0,1,1,4,7,2,2,90.0,90.0,,1.0,,4.0,3.0,5.0,7.0,5.0,,,GOMS,2019,0.0,90.0,0.0,영업·판매·운전·운송,KECO2018
25.0,1995.0,1,1,4,2,2,1,180.0,180.0,,1.0,,3.0,1.0,4.0,4.0,4.0,,1,GOMS,2019,0.0,180.0,0.0,연구·공학기술,KECO2018
,1970.0,1,1,4,8,1,,1000.0,600.0,,1.0,,4.0,3.0,4.0,5.0,5.0,,,GOMS,2019,0.0,600.0,66.66666666666666,건설·채굴,KECO2018
22.916666666666668,1997.0,1,1,4,2,9,1,250.0,200.0,,1.0,,4.0,5.0,4.0,7.0,7.0,,,GOMS,2019,0.0,200.0,25.0,연구·공학기술,KECO2018
25.333333333333332,1995.0,1,1,4,2,3,1,291.0,283.0,,1.0,,3.0,3.0,4.0,6.0,5.0,,,GOMS,2019,0.0,283.0,2.8268551236749118,연구·공학기술,KECO2018
