year,emp_type,ksic_section,industry,item,unit,value
2022,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,381.0
2022,전체근로자,B,광업,전년도 연간특별급여,천원,4573.0
2023,전체근로자,B,광업,총근로일수,일,22.1
2023,전체근로자,B,광업,총근로시간,시간,184.4
2023,전체근로자,B,광업,소정실근로시간,시간,167.0
2023,전체근로자,B,광업,초과근로시간,시간,17.4
2023,전체근로자,B,광업,휴일근로시간,시간,6.6
2023,전체근로자,B,광업,시간당임금총액,원,24751.0
2023,전체근로자,B,광업,시간당정액급여,원,22066.0
2023,전체근로자,B,광업,월임금총액,천원,4399.0
2023,전체근로자,B,광업,월급여액,천원,3987.0
2023,전체근로자,B,광업,정액급여,천원,3578.0
2023,전체근로자,B,광업,초과급여,천원,409.0
2023,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,411.0
2023,전체근로자,B,광업,전년도 연간특별급여,천원,4937.0
2024,전체근로자,B,광업,총근로일수,일,20.5
2024,전체근로자,B,광업,총근로시간,시간,172.6
2024,전체근로자,B,광업,소정실근로시간,시간,154.2
2024,전체근로자,B,광업,초과근로시간,시간,18.3
2024,전체근로자,B,광업,휴일근로시간,시간,7.3
2024,전체근로자,B,광업,시간당임금총액,원,26975.0
2024,전체근로자,B,광업,시간당정액급여,원,24450.0
2024,전체근로자,B,광업,월임금총액,천원,4538.0
2024,전체근로자,B,광업,월급여액,천원,4117.0
2024,전체근로자,B,광업,정액급여,천원,3730.0
2024,전체근로자,B,광업,초과급여,천원,388.0
2024,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,421.0
2024,전체근로자,B,광업,전년도 연간특별급여,천원,5047.0
2025,전체근로자,B,광업,총근로일수,일,20.5
2025,전체근로자,B,광업,총근로시간,시간,172.5
2025,전체근로자,B,광업,소정실근로시간,시간,153.1
2025,전체근로자,B,광업,초과근로시간,시간,19.4
2025,전체근로자,B,광업,휴일근로시간,시간,8.8
2025,전체근로자,B,광업,시간당임금총액,원,27936.0
2025,전체근로자,B,광업,시간당정액급여,원,24924.0
2025,전체근로자,B,광업,월임금총액,천원,4684.0
2025,전체근로자,B,광업,월급여액,천원,4239.0
2025,전체근로자,B,광업,정액급여,천원,3770.0
2025,전체근로자,B,광업,초과급여,천원,469.0
2025,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,444.0
2025,전체근로자,B,광업,전년도 연간특별급여,천원,5334.0
2020,전체근로자,C,제조업,총근로일수,일,21.6
2020,전체근로자,C,제조업,총근로시간,시간,182.0
2020,전체근로자,C,제조업,소정실근로시간,시간,167.5
2020,전체근로자,C,제조업,초과근로시간,시간,14.5
2020,전체근로자,C,제조업,휴일근로시간,시간,3.7
2020,전체근로자,C,제조업,시간당임금총액,원,20358.0
2020,전체근로자,C,제조업,시간당정액급여,원,17291.0
2020,전체근로자,C,제조업,월임금총액,천원,3663.0
2020,전체근로자,C,제조업,월급여액,천원,3178.0
2020,전체근로자,C,제조업,정액급여,천원,2875.0
2020,전체근로자,C,제조업,초과급여,천원,303.0
2020,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,484.0
2020,전체근로자,C,제조업,전년도 연간특별급여,천원,5811.0
2021,전체근로자,C,제조업,총근로일수,일,21.9
2021,전체근로자,C,제조업,총근로시간,시간,185.3
2021,전체근로자,C,제조업,소정실근로시간,시간,169.3
2021,전체근로자,C,제조업,초과근로시간,시간,16.0
2021,전체근로자,C,제조업,휴일근로시간,시간,4.2
2021,전체근로자,C,제조업,시간당임금총액,원,20796.0
2021,전체근로자,C,제조업,시간당정액급여,원,17817.0
2021,전체근로자,C,제조업,월임금총액,천원,3813.0
2021,전체근로자,C,제조업,월급여액,천원,3355.0
2021,전체근로자,C,제조업,정액급여,천원,2998.0
2021,전체근로자,C,제조업,초과급여,천원,357.0
2021,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,459.0
2021,전체근로자,C,제조업,전년도 연간특별급여,천원,5505.0
2022,전체근로자,C,제조업,총근로일수,일,20.4
2022,전체근로자,C,제조업,총근로시간,시간,174.1
2022,전체근로자,C,제조업,소정실근로시간,시간,156.7
2022,전체근로자,C,제조업,초과근로시간,시간,17.4
2022,전체근로자,C,제조업,휴일근로시간,시간,5.5
2022,전체근로자,C,제조업,시간당임금총액,원,23929.0
2022,전체근로자,C,제조업,시간당정액급여,원,20118.0
2022,전체근로자,C,제조업,월임금총액,천원,4114.0
2022,전체근로자,C,제조업,월급여액,천원,3550.0
2022,전체근로자,C,제조업,정액급여,천원,3136.0
2022,전체근로자,C,제조업,초과급여,천원,414.0
2022,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,564.0
2022,전체근로자,C,제조업,전년도 연간특별급여,천원,6769.0
2023,전체근로자,C,제조업,총근로일수,일,20.9
2023,전체근로자,C,제조업,총근로시간,시간,177.5
2023,전체근로자,C,제조업,소정실근로시간,시간,161.3
2023,전체근로자,C,제조업,초과근로시간,시간,16.2
2023,전체근로자,C,제조업,휴일근로시간,시간,5.0
2023,전체근로자,C,제조업,시간당임금총액,원,24645.0
2023,전체근로자,C,제조업,시간당정액급여,원,20644.0
2023,전체근로자,C,제조업,월임금총액,천원,4323.0
2023,전체근로자,C,제조업,월급여액,천원,3708.0
2023,전체근로자,C,제조업,정액급여,천원,3312.0
2023,전체근로자,C,제조업,초과급여,천원,396.0
2023,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,615.0
2023,전체근로자,C,제조업,전년도 연간특별급여,천원,7381.0
2024,전체근로자,C,제조업,총근로일수,일,19.5
2024,전체근로자,C,제조업,총근로시간,시간,165.5
2024,전체근로자,C,제조업,소정실근로시간,시간,148.9
2024,전체근로자,C,제조업,초과근로시간,시간,16.6
2024,전체근로자,C,제조업,휴일근로시간,시간,5.4
2024,전체근로자,C,제조업,시간당임금총액,원,27372.0
2024,전체근로자,C,제조업,시간당정액급여,원,23386.0
2024,전체근로자,C,제조업,월임금총액,천원,4487.0
2024,전체근로자,C,제조업,월급여액,천원,3889.0
2024,전체근로자,C,제조업,정액급여,천원,3468.0
2024,전체근로자,C,제조업,초과급여,천원,420.0
2024,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,598.0
2024,전체근로자,C,제조업,전년도 연간특별급여,천원,7181.0
2025,전체근로자,C,제조업,총근로일수,일,19.5
2025,전체근로자,C,제조업,총근로시간,시간,166.2
2025,전체근로자,C,제조업,소정실근로시간,시간,148.8
2025,전체근로자,C,제조업,초과근로시간,시간,17.5
2025,전체근로자,C,제조업,휴일근로시간,시간,5.9
2025,전체근로자,C,제조업,시간당임금총액,원,27960.0
2025,전체근로자,C,제조업,시간당정액급여,원,24014.0
2025,전체근로자,C,제조업,월임금총액,천원,4603.0
2025,전체근로자,C,제조업,월급여액,천원,4028.0
2025,전체근로자,C,제조업,정액급여,천원,3557.0
2025,전체근로자,C,제조업,초과급여,천원,471.0
2025,전체근로자,C,제조업,전년도 연간특별급여/12개월,천원,575.0
2025,전체근로자,C,제조업,전년도 연간특별급여,천원,6899.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,21.2
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,178.7
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,169.5
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,9.2
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,1.6
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,34879.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,26564.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6142.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,4769.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4454.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,315.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1373.0
2020,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,16480.0
