year,emp_type,ksic_section,industry,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2022,비정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",15497.0,123.9,186.1,182.1,172.2,9.9
2022,비정규근로자,P,교육 서비스업,25362.0,90.8,165.1,163.2,160.9,2.3
2022,비정규근로자,Q,보건업 및 사회복지서비스업,14357.0,101.1,143.8,142.2,138.4,3.8
2022,비정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",13202.0,108.8,144.6,143.1,138.1,5.0
2022,비정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",15457.0,101.5,150.1,147.4,144.9,2.6
2022,비정규근로자,전체,전체,17233.0,111.7,182.6,178.2,169.9,8.3
2022,비정규직근로자(특수형태포함),A,"농업, 임업 및 어업",,,192.7,185.4,176.6,8.8
2022,비정규직근로자(특수형태포함),B,광업,,,295.8,293.4,272.8,20.6
2022,비정규직근로자(특수형태포함),C,제조업,,,239.8,232.6,198.8,33.8
2022,비정규직근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,327.6,307.3,285.4,21.8
2022,비정규직근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,253.6,247.9,221.9,26.1
2022,비정규직근로자(특수형태포함),F,건설업,,,223.8,222.7,219.0,3.8
2022,비정규직근로자(특수형태포함),G,도매 및 소매업,,,160.3,158.1,155.0,3.1
2022,비정규직근로자(특수형태포함),H,운수 및 창고업,,,339.3,336.5,315.9,20.6
2022,비정규직근로자(특수형태포함),I,숙박 및 음식점업,,,103.7,103.4,99.2,4.2
2022,비정규직근로자(특수형태포함),J,정보통신업,,,225.5,220.5,216.9,3.6
2022,비정규직근로자(특수형태포함),K,금융 및 보험업,,,378.5,349.9,347.8,2.2
2022,비정규직근로자(특수형태포함),L,부동산업,,,208.4,207.0,202.5,4.5
2022,비정규직근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,261.8,254.3,250.1,4.2
2022,비정규직근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,209.3,205.8,197.3,8.5
2022,비정규직근로자(특수형태포함),P,교육 서비스업,,,179.3,177.9,176.3,1.6
2022,비정규직근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,142.8,141.2,137.6,3.7
2022,비정규직근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,200.6,199.6,196.2,3.4
2022,비정규직근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,183.1,181.1,179.3,1.8
2022,비정규직근로자(특수형태포함),전체,전체,,,200.0,196.2,189.1,7.1
2022,전체근로자,A,"농업, 임업 및 어업",20469.0,153.7,311.3,274.8,266.7,8.1
2022,전체근로자,B,광업,24662.0,180.0,429.8,391.7,348.7,43.0
2022,전체근로자,C,제조업,23929.0,174.1,411.4,355.0,313.6,41.4
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",37468.0,168.8,626.8,493.2,460.4,32.8
2022,전체근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",22568.0,177.0,393.7,362.1,328.6,33.5
2022,전체근로자,F,건설업,24261.0,128.8,309.4,297.7,288.9,8.9
2022,전체근로자,G,도매 및 소매업,21563.0,155.9,342.5,316.3,308.6,7.6
2022,전체근로자,H,운수 및 창고업,21911.0,164.4,358.3,322.8,293.4,29.4
2022,전체근로자,I,숙박 및 음식점업,12811.0,130.1,170.7,168.1,161.5,6.7
2022,전체근로자,J,정보통신업,28557.0,160.7,462.4,420.4,407.7,12.6
2022,전체근로자,K,금융 및 보험업,39968.0,161.1,641.5,476.9,462.4,14.5
2022,전체근로자,L,부동산업,16844.0,166.9,274.1,258.5,253.2,5.3
2022,전체근로자,M,"전문, 과학 및 기술 서비스업",30091.0,159.6,480.9,418.7,408.4,10.3
2022,전체근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",19366.0,157.6,305.8,282.5,265.6,16.9
2022,전체근로자,P,교육 서비스업,26502.0,128.5,314.3,295.7,290.9,4.8
2022,전체근로자,Q,보건업 및 사회복지서비스업,18254.0,145.9,272.3,261.1,250.1,11.0
2022,전체근로자,R,"예술, 스포츠 및 여가관련 서비스업",17069.0,144.5,254.7,241.8,229.7,12.1
2022,전체근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",17315.0,155.2,266.7,250.1,243.4,6.6
2022,전체근로자,전체,전체,22651.0,154.9,352.6,317.2,299.2,18.0
2022,전체근로자(특수형태포함),A,"농업, 임업 및 어업",,,312.6,276.3,268.2,8.1
2022,전체근로자(특수형태포함),B,광업,,,432.4,395.0,352.7,42.3
2022,전체근로자(특수형태포함),C,제조업,,,411.3,355.2,314.0,41.2
2022,전체근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,626.3,492.8,460.0,32.8
2022,전체근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,395.4,363.9,330.6,33.3
2022,전체근로자(특수형태포함),F,건설업,,,309.3,297.7,288.9,8.9
2022,전체근로자(특수형태포함),G,도매 및 소매업,,,335.9,311.1,303.9,7.2
2022,전체근로자(특수형태포함),H,운수 및 창고업,,,373.1,340.3,313.3,27.0
2022,전체근로자(특수형태포함),I,숙박 및 음식점업,,,171.2,168.6,162.0,6.6
2022,전체근로자(특수형태포함),J,정보통신업,,,459.9,418.3,405.8,12.5
2022,전체근로자(특수형태포함),K,금융 및 보험업,,,560.2,441.2,430.8,10.4
2022,전체근로자(특수형태포함),L,부동산업,,,272.8,257.6,252.4,5.2
2022,전체근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,479.5,417.6,407.4,10.2
2022,전체근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,307.3,284.7,268.3,16.4
2022,전체근로자(특수형태포함),P,교육 서비스업,,,297.4,281.9,277.9,4.0
2022,전체근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,270.8,259.8,248.8,10.9
2022,전체근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,265.3,254.5,244.3,10.2
2022,전체근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,266.8,251.3,245.1,6.2
2022,전체근로자(특수형태포함),전체,전체,,,350.6,316.6,299.4,17.2
2022,정규근로자,A,"농업, 임업 및 어업",22919.0,167.8,376.7,324.9,317.2,7.8
2022,정규근로자,B,광업,25401.0,183.6,447.9,406.5,361.8,44.7
2022,정규근로자,C,제조업,24914.0,176.6,432.6,370.4,328.3,42.1
2022,정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",39512.0,169.7,662.9,515.6,481.5,34.1
2022,정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",23428.0,181.5,418.3,382.6,348.1,34.5
2022,정규근로자,F,건설업,23678.0,165.5,393.6,371.6,357.7,13.9
2022,정규근로자,G,도매 및 소매업,23374.0,167.1,386.6,355.2,346.8,8.4
2022,정규근로자,H,운수 및 창고업,22961.0,168.6,383.6,341.5,312.5,29.0
2022,정규근로자,I,숙박 및 음식점업,13959.0,180.2,248.7,243.6,234.2,9.4
2022,정규근로자,J,정보통신업,29689.0,163.6,485.6,440.0,426.6,13.4
2022,정규근로자,K,금융 및 보험업,41406.0,162.2,667.1,495.0,479.6,15.3
2022,정규근로자,L,부동산업,23637.0,165.8,385.4,346.0,339.5,6.5
