year,ksic_section,industry,owner_group,소멸,소멸률,신생,신생률,활동
2011,전체,전체,남자,373958.0,11.2,440632.0,13.2,3350005.0
2011,전체,전체,여자,315592.0,15.8,371823.0,18.6,1994858.0
2011,전체,전체,연령미상,8077.0,15.6,10326.0,19.9,51768.0
2012,A,"농업, 임업 및 어업",30대,375.0,13.7,591.0,21.6,2740.0
2012,A,"농업, 임업 및 어업",30대 미만,102.0,15.9,194.0,30.2,642.0
2012,A,"농업, 임업 및 어업",40대,1009.0,12.9,1334.0,17.1,7794.0
2012,A,"농업, 임업 및 어업",50대,1914.0,11.8,2004.0,12.3,16242.0
2012,A,"농업, 임업 및 어업",60대,1317.0,15.2,1024.0,11.8,8654.0
2012,A,"농업, 임업 및 어업",70대 이상,526.0,20.9,360.0,14.3,2516.0
2012,A,"농업, 임업 및 어업",계,5247.0,13.6,5511.0,14.3,38602.0
2012,A,"농업, 임업 및 어업",남자,4209.0,13.1,4318.0,13.4,32140.0
2012,A,"농업, 임업 및 어업",여자,1038.0,16.1,1193.0,18.5,6462.0
2012,A,"농업, 임업 및 어업",연령미상,4.0,28.6,4.0,28.6,14.0
2012,B,광업,30대,24.0,18.9,29.0,22.8,127.0
2012,B,광업,30대 미만,4.0,19.0,2.0,9.5,21.0
2012,B,광업,40대,59.0,17.1,55.0,15.9,346.0
2012,B,광업,50대,75.0,12.2,65.0,10.6,614.0
2012,B,광업,60대,56.0,13.8,52.0,12.8,405.0
2012,B,광업,70대 이상,35.0,17.6,21.0,10.6,199.0
2012,B,광업,계,255.0,14.8,225.0,13.1,1719.0
2012,B,광업,남자,207.0,14.4,181.0,12.6,1436.0
2012,B,광업,여자,48.0,17.0,44.0,15.5,283.0
2012,B,광업,연령미상,2.0,28.6,1.0,14.3,7.0
2012,C,제조업,30대,6830.0,12.0,12648.0,22.2,56891.0
2012,C,제조업,30대 미만,1441.0,16.6,2957.0,34.2,8656.0
2012,C,제조업,40대,15789.0,9.2,20869.0,12.1,172173.0
2012,C,제조업,50대,14494.0,8.1,13312.0,7.4,179953.0
2012,C,제조업,60대,4573.0,9.1,2723.0,5.4,50403.0
2012,C,제조업,70대 이상,1496.0,12.9,620.0,5.4,11587.0
2012,C,제조업,계,44787.0,9.3,53203.0,11.1,481057.0
2012,C,제조업,남자,32615.0,8.5,38492.0,10.0,383313.0
2012,C,제조업,여자,12172.0,12.5,14711.0,15.1,97744.0
2012,C,제조업,연령미상,164.0,11.8,74.0,5.3,1394.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",30대,9.0,3.6,89.0,36.0,247.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",30대 미만,2.0,4.9,23.0,56.1,41.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",40대,25.0,3.5,199.0,27.7,718.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",50대,32.0,2.8,311.0,26.7,1163.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",60대,16.0,2.6,175.0,28.5,615.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",70대 이상,5.0,2.6,53.0,27.2,195.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",계,92.0,3.1,855.0,28.4,3006.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",남자,66.0,3.3,550.0,27.6,1994.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",여자,26.0,2.6,305.0,30.1,1012.0
2012,D,"전기, 가스, 증기 및 공기조절 공급업",연령미상,3.0,11.1,5.0,18.5,27.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",30대,88.0,9.8,160.0,17.8,900.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",30대 미만,21.0,14.5,34.0,23.4,145.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",40대,206.0,7.5,291.0,10.6,2736.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",50대,210.0,6.6,220.0,6.9,3180.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",60대,76.0,6.6,57.0,4.9,1155.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",70대 이상,18.0,5.4,10.0,3.0,333.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",계,620.0,7.3,774.0,9.1,8464.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",남자,495.0,7.3,605.0,8.9,6809.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",여자,125.0,7.6,169.0,10.2,1655.0
2012,E,"수도, 하수 및 폐기물처리, 원료재생업",연령미상,1.0,6.7,2.0,13.3,15.0
2012,F,건설업,30대,4870.0,9.5,7738.0,15.2,51035.0
2012,F,건설업,30대 미만,849.0,12.8,1548.0,23.3,6653.0
2012,F,건설업,40대,11519.0,8.5,13865.0,10.2,135355.0
2012,F,건설업,50대,9374.0,8.2,8784.0,7.7,113699.0
2012,F,건설업,60대,2484.0,9.2,1898.0,7.0,26928.0
2012,F,건설업,70대 이상,627.0,12.5,413.0,8.3,5004.0
2012,F,건설업,계,29822.0,8.8,34256.0,10.1,339365.0
2012,F,건설업,남자,23019.0,8.4,25707.0,9.4,273736.0
2012,F,건설업,여자,6803.0,10.4,8549.0,13.0,65629.0
2012,F,건설업,연령미상,99.0,14.3,10.0,1.4,691.0
2012,G,도매 및 소매업,30대,54168.0,19.7,69465.0,25.2,275441.0
2012,G,도매 및 소매업,30대 미만,18471.0,30.3,26169.0,43.0,60920.0
2012,G,도매 및 소매업,40대,62421.0,14.0,67859.0,15.2,447158.0
2012,G,도매 및 소매업,50대,44472.0,12.3,39517.0,10.9,362333.0
2012,G,도매 및 소매업,60대,17432.0,13.6,11352.0,8.8,128424.0
2012,G,도매 및 소매업,70대 이상,7500.0,17.4,3362.0,7.8,43107.0
2012,G,도매 및 소매업,계,205369.0,15.5,218267.0,16.5,1322333.0
2012,G,도매 및 소매업,남자,100287.0,13.3,108653.0,14.4,752970.0
2012,G,도매 및 소매업,여자,105082.0,18.5,109614.0,19.3,569363.0
2012,G,도매 및 소매업,연령미상,905.0,18.3,543.0,11.0,4950.0
2012,H,운수 및 창고업,30대,6219.0,9.4,9220.0,14.0,65897.0
2012,H,운수 및 창고업,30대 미만,1152.0,11.9,2074.0,21.4,9676.0
2012,H,운수 및 창고업,40대,11225.0,7.7,13224.0,9.1,144921.0
2012,H,운수 및 창고업,50대,13283.0,6.5,13375.0,6.6,203475.0
2012,H,운수 및 창고업,60대,7388.0,7.2,4382.0,4.3,102221.0
2012,H,운수 및 창고업,70대 이상,2406.0,12.4,534.0,2.8,19369.0
2012,H,운수 및 창고업,계,41785.0,7.6,42841.0,7.8,546684.0
2012,H,운수 및 창고업,남자,36282.0,7.4,35945.0,7.3,492587.0
2012,H,운수 및 창고업,여자,5503.0,10.2,6896.0,12.7,54097.0
2012,H,운수 및 창고업,연령미상,112.0,10.0,32.0,2.8,1125.0
2012,I,숙박 및 음식점업,30대,32579.0,24.8,37644.0,28.6,131613.0
2012,I,숙박 및 음식점업,30대 미만,12233.0,28.9,16116.0,38.1,42341.0
2012,I,숙박 및 음식점업,40대,49873.0,20.9,50237.0,21.1,238651.0
2012,I,숙박 및 음식점업,50대,46965.0,18.7,39092.0,15.6,251280.0
2012,I,숙박 및 음식점업,60대,14474.0,19.3,9366.0,12.5,75161.0
2012,I,숙박 및 음식점업,70대 이상,4421.0,23.0,2238.0,11.7,19190.0
2012,I,숙박 및 음식점업,계,160976.0,21.2,154817.0,20.4,759926.0
2012,I,숙박 및 음식점업,남자,58887.0,21.4,60587.0,22.0,275622.0
2012,I,숙박 및 음식점업,여자,102089.0,21.1,94230.0,19.5,484304.0
2012,I,숙박 및 음식점업,연령미상,431.0,25.5,124.0,7.3,1690.0
2012,J,정보통신업,30대,2806.0,16.0,4876.0,27.8,17560.0
2012,J,정보통신업,30대 미만,587.0,27.3,1103.0,51.4,2148.0
2012,J,정보통신업,40대,3051.0,12.5,3947.0,16.2,24346.0
2012,J,정보통신업,50대,1337.0,12.3,1373.0,12.6,10865.0
2012,J,정보통신업,60대,353.0,13.3,352.0,13.3,2652.0
2012,J,정보통신업,70대 이상,171.0,18.4,111.0,12.0,928.0
2012,J,정보통신업,계,8356.0,14.2,11826.0,20.1,58976.0
2012,J,정보통신업,남자,6333.0,13.4,8974.0,19.0,47323.0
2012,J,정보통신업,여자,2023.0,17.4,2852.0,24.5,11653.0
2012,J,정보통신업,연령미상,51.0,10.7,64.0,13.4,477.0
2012,K,금융 및 보험업,30대,1089.0,28.7,1303.0,34.3,3797.0
2012,K,금융 및 보험업,30대 미만,198.0,34.9,269.0,47.4,567.0
2012,K,금융 및 보험업,40대,1491.0,22.0,1495.0,22.1,6776.0
2012,K,금융 및 보험업,50대,1052.0,18.6,991.0,17.5,5651.0
2012,K,금융 및 보험업,60대,365.0,18.6,301.0,15.3,1965.0
2012,K,금융 및 보험업,70대 이상,133.0,21.9,93.0,15.3,607.0
2012,K,금융 및 보험업,계,4370.0,22.0,4477.0,22.6,19833.0
2012,K,금융 및 보험업,남자,2885.0,21.1,2937.0,21.5,13664.0
2012,K,금융 및 보험업,여자,1485.0,24.1,1540.0,25.0,6169.0
2012,K,금융 및 보험업,연령미상,42.0,8.9,25.0,5.3,470.0
2012,L,부동산업,30대,9992.0,15.0,15255.0,23.0,66456.0
2012,L,부동산업,30대 미만,1326.0,15.5,2488.0,29.1,8546.0
2012,L,부동산업,40대,27830.0,13.0,35339.0,16.5,214538.0
2012,L,부동산업,50대,38089.0,11.0,40955.0,11.9,344968.0
2012,L,부동산업,60대,25248.0,9.7,20229.0,7.7,261591.0
2012,L,부동산업,70대 이상,18774.0,10.9,9149.0,5.3,171784.0
2012,L,부동산업,계,122107.0,11.4,124068.0,11.5,1075378.0
2012,L,부동산업,남자,70713.0,10.8,67406.0,10.3,655464.0
2012,L,부동산업,여자,51394.0,12.2,56662.0,13.5,419914.0
2012,L,부동산업,연령미상,848.0,11.3,653.0,8.7,7495.0
2012,M,전문과학기술서비스업,30대,3926.0,14.6,7122.0,26.6,26802.0
2012,M,전문과학기술서비스업,30대 미만,756.0,26.2,1464.0,50.7,2890.0
2012,M,전문과학기술서비스업,40대,4893.0,11.1,6469.0,14.6,44280.0
2012,M,전문과학기술서비스업,50대,2745.0,9.6,2958.0,10.3,28739.0
2012,M,전문과학기술서비스업,60대,917.0,9.6,783.0,8.2,9595.0
2012,M,전문과학기술서비스업,70대 이상,476.0,10.5,192.0,4.2,4520.0
2012,M,전문과학기술서비스업,계,13839.0,11.8,19128.0,16.3,117666.0
2012,M,전문과학기술서비스업,남자,10215.0,10.6,14194.0,14.8,96025.0
2012,M,전문과학기술서비스업,여자,3624.0,16.7,4934.0,22.8,21641.0
2012,M,전문과학기술서비스업,연령미상,126.0,15.0,140.0,16.7,840.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",30대,3723.0,20.0,5148.0,27.7,18596.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",30대 미만,802.0,26.9,1362.0,45.7,2982.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",40대,4557.0,15.1,5329.0,17.6,30229.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",50대,3379.0,14.6,3510.0,15.2,23142.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",60대,1255.0,16.2,1091.0,14.1,7755.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",70대 이상,381.0,19.4,248.0,12.6,1963.0
2012,N,"사업시설관리, 사업지원 및 임대 서비스업",계,14198.0,16.7,16782.0,19.7,85175.0
