year,industry,ksic_section,owner_group,item,value
2015,전체,전체,40대,활동,1662353.0
2015,전체,전체,40대,신생,258030.0
2015,전체,전체,40대,소멸,188887.0
2015,전체,전체,40대,신생률,15.5
2015,전체,전체,40대,소멸률,11.4
2016,전체,전체,40대,활동,1683432.0
2016,전체,전체,40대,신생,268899.0
2016,전체,전체,40대,소멸,180736.0
2016,전체,전체,40대,신생률,16.0
2016,전체,전체,40대,소멸률,10.7
2017,전체,전체,40대,활동,1708997.0
2017,전체,전체,40대,신생,272672.0
2017,전체,전체,40대,소멸,192371.0
2017,전체,전체,40대,신생률,16.0
2017,전체,전체,40대,소멸률,11.3
2018,전체,전체,40대,활동,1693588.0
2018,전체,전체,40대,신생,267827.0
2018,전체,전체,40대,소멸,188901.0
2018,전체,전체,40대,신생률,15.8
2018,전체,전체,40대,소멸률,11.2
2019,전체,전체,40대,활동,1704596.0
2019,전체,전체,40대,신생,277757.0
2019,전체,전체,40대,소멸,191301.0
2019,전체,전체,40대,신생률,16.3
2019,전체,전체,40대,소멸률,11.2
2020,전체,전체,40대,활동,1720678.0
2020,전체,전체,40대,신생,284908.0
2020,전체,전체,40대,소멸,185881.0
2020,전체,전체,40대,신생률,16.6
2020,전체,전체,40대,소멸률,10.8
2021,전체,전체,40대,활동,1725667.0
2021,전체,전체,40대,신생,273828.0
2021,전체,전체,40대,소멸,176654.0
2021,전체,전체,40대,신생률,15.9
2021,전체,전체,40대,소멸률,10.2
2022,전체,전체,40대,활동,1736071.0
2022,전체,전체,40대,신생,261006.0
2022,전체,전체,40대,소멸,179754.0
2022,전체,전체,40대,신생률,15.0
2022,전체,전체,40대,소멸률,10.4
2023,전체,전체,40대,활동,1728824.0
2023,전체,전체,40대,신생,250997.0
2023,전체,전체,40대,소멸,186142.0
2023,전체,전체,40대,신생률,14.5
2023,전체,전체,40대,소멸률,10.8
2024,전체,전체,40대,활동,1692174.0
2024,전체,전체,40대,신생,239312.0
2024,전체,전체,40대,신생률,14.1
2011,전체,전체,50대,활동,1616066.0
2011,전체,전체,50대,신생,183680.0
2011,전체,전체,50대,소멸,174974.0
2011,전체,전체,50대,신생률,11.4
2011,전체,전체,50대,소멸률,10.8
2012,전체,전체,50대,활동,1688845.0
2012,전체,전체,50대,신생,182453.0
2012,전체,전체,50대,소멸,199774.0
2012,전체,전체,50대,신생률,10.8
2012,전체,전체,50대,소멸률,11.8
2013,전체,전체,50대,활동,1721980.0
