year,industry,ksic_section,item,value
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,774.0
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,620.0
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,9.1
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,7.3
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8568.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,739.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,627.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.6
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,7.3
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8708.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,767.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,570.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.8
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.5
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8757.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,640.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,570.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.3
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.5
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8877.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,704.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,540.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.9
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.1
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,9032.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,717.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,497.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.9
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.5
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,9506.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,973.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,480.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,10.2
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10093.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,1065.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,497.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,10.6
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,4.9
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10575.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,928.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,528.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.8
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10959.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,902.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,500.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.2
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,4.6
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11504.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,1001.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,582.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.7
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.1
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11632.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,736.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,602.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,6.3
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.2
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11901.0
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,862.0
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.2
2011,건설업,F,활동,333819.0
2011,건설업,F,신생,34708.0
2011,건설업,F,소멸,27815.0
2011,건설업,F,신생률,10.4
2011,건설업,F,소멸률,8.3
2012,건설업,F,활동,339365.0
2012,건설업,F,신생,34256.0
2012,건설업,F,소멸,29822.0
2012,건설업,F,신생률,10.1
2012,건설업,F,소멸률,8.8
2013,건설업,F,활동,343556.0
2013,건설업,F,신생,32847.0
2013,건설업,F,소멸,27058.0
2013,건설업,F,신생률,9.6
2013,건설업,F,소멸률,7.9
2014,건설업,F,활동,353233.0
2014,건설업,F,신생,36493.0
2014,건설업,F,소멸,26655.0
2014,건설업,F,신생률,10.3
2014,건설업,F,소멸률,7.5
2015,건설업,F,활동,366159.0
2015,건설업,F,신생,39686.0
2015,건설업,F,소멸,26698.0
2015,건설업,F,신생률,10.8
2015,건설업,F,소멸률,7.3
2016,건설업,F,활동,384855.0
2016,건설업,F,신생,43345.0
2016,건설업,F,소멸,26387.0
2016,건설업,F,신생률,11.3
2016,건설업,F,소멸률,6.9
2017,건설업,F,활동,407286.0
2017,건설업,F,신생,46079.0
2017,건설업,F,소멸,28878.0
2017,건설업,F,신생률,11.3
2017,건설업,F,소멸률,7.1
2018,건설업,F,활동,425963.0
2018,건설업,F,신생,47679.0
2018,건설업,F,소멸,31145.0
2018,건설업,F,신생률,11.2
2018,건설업,F,소멸률,7.3
2019,건설업,F,활동,444396.0
2019,건설업,F,신생,51172.0
2019,건설업,F,소멸,31755.0
2019,건설업,F,신생률,11.5
2019,건설업,F,소멸률,7.1
2020,건설업,F,활동,465352.0
2020,건설업,F,신생,53585.0
2020,건설업,F,소멸,30841.0
2020,건설업,F,신생률,11.5
2020,건설업,F,소멸률,6.6
2021,건설업,F,활동,490882.0
2021,건설업,F,신생,55382.0
2021,건설업,F,소멸,34064.0
2021,건설업,F,신생률,11.3
2021,건설업,F,소멸률,6.9
2022,건설업,F,활동,509156.0
2022,건설업,F,신생,50725.0
2022,건설업,F,소멸,37192.0
2022,건설업,F,신생률,10.0
2022,건설업,F,소멸률,7.3
2023,건설업,F,활동,520473.0
2023,건설업,F,신생,49491.0
2023,건설업,F,소멸,39611.0
2023,건설업,F,신생률,9.5
2023,건설업,F,소멸률,7.6
2024,건설업,F,활동,526344.0
2024,건설업,F,신생,47376.0
2024,건설업,F,신생률,9.0
2011,도매 및 소매업,G,활동,1305369.0
2011,도매 및 소매업,G,신생,222530.0
