year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2010,정규근로자,전체,14388.0,194.4,267.7,228.5,213.9,14.5
2011,비정규근로자,29세이하,7337.0,148.7,110.0,107.6,102.2,5.3
2011,비정규근로자,30~39세,11014.0,156.2,149.5,145.4,138.2,7.2
2011,비정규근로자,40~49세,10415.0,150.1,137.9,135.1,130.7,4.4
2011,비정규근로자,50~59세,10014.0,150.4,139.1,136.5,132.8,3.7
2011,비정규근로자,60세이상,8464.0,163.0,124.2,122.7,119.9,2.8
2011,비정규근로자,전체,9372.0,152.2,130.9,128.2,123.3,4.9
2011,비정규직근로자(특수형태포함),29세이하,,,113.2,110.8,105.8,5.0
2011,비정규직근로자(특수형태포함),30~39세,,,161.4,157.6,152.3,5.2
2011,비정규직근로자(특수형태포함),40~49세,,,166.5,163.1,160.0,3.2
2011,비정규직근로자(특수형태포함),50~59세,,,159.0,156.1,153.0,3.1
2011,비정규직근로자(특수형태포함),60세이상,,,126.0,124.4,121.8,2.6
2011,비정규직근로자(특수형태포함),전체,,,147.2,144.2,140.3,4.0
2011,전체근로자,29세이하,9811.0,175.6,172.7,155.6,144.8,10.9
2011,전체근로자,30~39세,14807.0,183.0,261.9,224.9,211.3,13.7
2011,전체근로자,40~49세,16171.0,182.3,285.8,242.1,226.5,15.5
2011,전체근로자,50~59세,14638.0,181.5,258.2,222.6,208.3,14.3
2011,전체근로자,60세이상,9978.0,180.6,169.5,159.7,154.9,4.9
2011,전체근로자,전체,13769.0,180.8,242.8,210.2,197.0,13.1
2011,전체근로자(특수형태포함),29세이하,,,172.3,155.6,145.0,10.6
2011,전체근로자(특수형태포함),30~39세,,,258.1,223.0,210.1,12.9
2011,전체근로자(특수형태포함),40~49세,,,281.8,241.3,227.0,14.2
2011,전체근로자(특수형태포함),50~59세,,,257.9,224.2,210.8,13.4
2011,전체근로자(특수형태포함),60세이상,,,168.5,159.1,154.4,4.7
2011,전체근로자(특수형태포함),전체,,,241.3,210.3,197.9,12.4
2011,정규근로자,29세이하,11038.0,188.9,203.8,179.5,165.9,13.6
2011,정규근로자,30~39세,15521.0,188.0,283.0,239.9,225.0,14.9
2011,정규근로자,40~49세,17865.0,191.8,329.4,273.5,254.7,18.8
2011,정규근로자,50~59세,16672.0,195.1,310.6,260.4,241.5,18.9
2011,정규근로자,60세이상,11292.0,195.9,208.8,191.9,185.3,6.6
2011,정규근로자,전체,15289.0,190.7,281.4,238.5,222.5,16.0
2012,비정규근로자,29세이하,8183.0,132.4,108.2,106.4,100.3,6.1
2012,비정규근로자,30~39세,12110.0,146.5,157.1,153.0,145.2,7.8
2012,비정규근로자,40~49세,11895.0,137.6,145.5,141.9,137.4,4.6
2012,비정규근로자,50~59세,11256.0,140.7,145.5,142.7,138.6,4.0
2012,비정규근로자,60세이상,9289.0,152.0,122.2,120.1,116.9,3.2
2012,비정규근로자,전체,10437.0,140.1,134.2,131.3,126.0,5.3
2012,비정규직근로자(특수형태포함),29세이하,,,112.6,110.8,105.1,5.7
2012,비정규직근로자(특수형태포함),30~39세,,,166.4,163.0,157.3,5.7
2012,비정규직근로자(특수형태포함),40~49세,,,173.8,170.5,167.3,3.3
2012,비정규직근로자(특수형태포함),50~59세,,,162.9,160.0,156.7,3.3
2012,비정규직근로자(특수형태포함),60세이상,,,124.7,122.6,119.7,2.9
2012,비정규직근로자(특수형태포함),전체,,,149.9,147.2,142.8,4.3
2012,전체근로자,29세이하,10660.0,166.6,177.9,161.0,149.5,11.5
2012,전체근로자,30~39세,15979.0,176.5,272.0,236.2,221.5,14.7
2012,전체근로자,40~49세,17469.0,175.9,296.1,255.3,238.8,16.5
